"Артикул","Название","Описание","Цена","Вес","одежда>>платья>>дневное,тренд,бренд","Цвет/Картинка","Инд. Магазина","Материал","Размер","Мужской/Женский"
10111055,"хлопковое платье-кардиган","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",107,"0,6","одежда>>платья>>casual,Платья-рубашки,Sonia by Sonia Rykiel","10111055-1.jpg||10111055-2.jpg,C1||N2",,"хлопок ,полиэстер ","2,4,6 ","Женский"
10111052,"кружевное коктейльное платье","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",143,"0,56","одежда>>платья>>коктейльные,Нежность кружева,Prada","10111052-1.jpg,N1",,"кружево ","S, M, L ","Женский"
10111040,"теплое шерстяное платье","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",135,"0,7","одежда>>платья>>casual,Банты,Christian Dior","10111040-1.jpg||10111040-2.jpg||10111040-3.jpg||10111040-4.jpg,G1||A4||K1||N1",,"шерсть,полиэстер ","S,M,L","Женский"
10111141,"винтажное платье с мехом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",156,"0,5","одежда>>платья>>casual,Винтаж,Anna Sui ","10111141-1.jpg||10111141-2.jpg,H2||E1",,"бархат ,шерсть кролика ","S, M, L ","Женский"
10110834,"леопардовое платье с мехом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",130,"0,56","одежда>>платья>>коктейльные,Звериные принты,Anna Sui ","10110834-1.jpg||10110834-2.jpg,M2||J2",,"бархат,шерсть кролика ","S, M, L ","Женский"
10110825,"белое платье с орнаментом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",129,"0,67","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui ","10110825-1.jpg,M5",,"хлопок ","S, M, L ","Женский"
10102918,"короткое кожаное  платье с шелком","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",136,"0,54","одежда>>платья>>коктейльные,Элегантность кожи,Anna Sui","10102918-1.jpg||10102918-2.jpg,H1||N1",,"шелк , PU ","S, M, L ","Женский"
10102115,"платье ручная вышивка бисером","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",127,"0,46","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui ","10102115-1.jpg,J1",,"шерсть ,хлопок ","S, M, L ","Женский"
10102824,"винтажное платье с шарфом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",120,"0,5","одежда>>платья>>коктейльные,Винтаж,Anna Sui ","10102743-1.jpg,N1",,"бархат ","S, M, L ","Женский"
10102818,"шелковое платье с орнаментом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",120,"0,45","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10102818-1.jpg||10102818-2.jpg,H2||C3",,"шелк ","S, M, L ","Женский"
10093012,"шелковое платье с цветочным принтом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",136,"0,45","одежда>>платья>>casual,Цветочные принты,Anna Sui","10093012-1.jpg,N1",,"шелк ","S, M, L ","Женский"
10101152,"винтажное платье с цветочной вышивкой","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",127,"0,67","одежда>>платья>>casual,Винтаж,Anna Sui","10101152-1.jpg,N1",,"бархат ","S, M, L ","Женский"
10101226,"теплое платье с вышивкой","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",131,"0,6","одежда>>платья>>casual,Винтаж,Anna Sui","10101226-2.jpg||10101226-3.jpg,N2||H1",,"шерсть,полиэстер ","S, M, L ","Женский"
10101430,"платье с декоративными клепками ","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",141,"0,56","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10101430-1.jpg||10101430-2.jpg,M4||N1",,"шерсть,хлопок ","S, M, L ","Женский"
10091434,"цветочное платье","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",124,"0,46","одежда>>платья>>коктейльные,Цветочные принты,Anna Sui ","10091434-1.jpg||10091434-2.jpg,G1||I4",,"хлопок,полиэстер ","S, M, L ","Женский"
10091427,"платье с бахромой и геометрическим орнаментом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",128,"0,47","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10091427-1.jpg,K4",,"шерсть,полиэстер ","S, M, L ","Женский"
10091347,"леопардовое платье с поясом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",144,"0,6","одежда>>платья>>casual,Звериные принты,Anna Sui","10091347-1.jpg||10091347-2.jpg,L1||N1",,"PU ","S, M, L ","Женский"
10090310,"хлопоковое платье с геометрическим принтом","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",128,"0,5","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10090310-1.jpg||10090310-2.jpg,B5||N1",,"хлопок ","2,4,6 ","Женский"
10083023,"шерстяное платье в мелкий горох","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",137,"0,46","одежда>>платья>>casual,Винтаж,Anna Sui","10083023-1.jpg||10083023-2.jpg||10083023-3.jpg,N3||N1||A4",,"шерсть","2,4,6 ","Женский"
10081735,"платье с бантами","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",116,"0,5","одежда>>платья>>коктейльные,Банты,Anna Sui ","10081735-1.jpg||10081735-2.jpg,D4||N1",,"шерсть,хлопок ","S, M, L ","Женский"
10080614,"платье объемная геометрия","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",132,"0,5","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10080614-1.jpg,N1",,"хлопок,шелк","S, M, L ","Женский"
10072243,"шелковое платье","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",137,"0,5","одежда>>платья>>casual,Платья-рубашки,Anna Sui","10072243-1.jpg||10072243-3.jpg,N1||B5",,"шелк","S, M, L ","Женский"
10070825,"длинное хлопковое платье","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",124,"0,5","одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10070825-1.jpg,E1",,"хлопок","M","Женский"
10062147,"шелковое платье с поясом-цветком","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",124,"0,5","одежда>>платья>>коктейльные,Звездный стиль,Anna Sui ","10062147-1.jpg||10062147-2.jpg,E3||B1",,"шелк","M","Женский"
10060842,"шелковое платье расшитое клепками","доставка по всему миру!(15-20 дней) 
предоплата по Украине 50%
доставка рассчитывается автоматически системой сайта ,
по тарифам международной службы доставки EMS cn, 
непосредственно при оформлении заказа, и в стоимость товара не включена

",122,"0,5","одежда>>платья>>коктейльные,Звездный стиль,Anna Sui ","10060842-1.jpg||10060842-2.jpg||10060842-3.jpg||10060842-4.jpg,F2||M4|A5||N1",,"шелк","M","Женский"
